GEX historical data for SPY
Retrieved,Price,Gex Value At Next Exp,GEX Flip Price,Put Skew,Skew Adj GEX,IV,Avg Volume,Gex/Vol,PCR (OI),Rating
2024-03-28 09:37:46,522.81,2274034264.372052,521.05,-0.032947308401038905,-666407701.9091091,0.10915683035714285,51038240,-0.005,3.02,5
2024-03-27 15:46:31,522.22,2231995511.579676,520.04,-0.03623663106498437,-558760321.8959846,0.10639863591269841,51038240,-0.004,3.08,5
2024-03-27 09:38:19,521.43,1792641920.6142716,520.06,-0.03218936583454857,-577488229.2116724,0.11001223710317459,36113393,-0.006,3.01,5
2024-03-26 15:47:22,519.255,-245858244.71954626,519.61,-0.03815563927404708,86002136.12297946,0.1101455009920635,36113393,0.001,3.09,1
2024-03-26 09:39:22,521.005,608047653.8423008,520.01,-0.039266195311982666,-370527700.49102885,0.11200010416666666,30186894,-0.005,3.02,5
2024-03-25 15:46:46,520.55,22536766.398924995,520.22,-0.04194536745603997,-68547063.99513263,0.11086111111111112,30186894,-0.001,3.22,5
2024-03-25 09:37:50,520.2184,-2071959606.201893,521.02,-0.039354461104137956,291847710.677605,0.11367708333333333,39426485,0.003,3.18,1
2024-03-22 15:46:42,521.884,-28682537.994811364,521.11,-0.027457805619768516,-105864916.31234379,0.10849228670634921,39426485,-0.001,2.81,5
2024-03-22 09:37:52,522.09,864328382.1670141,521.29,-0.034683327585357304,-203752508.16619423,0.11075835813492063,46198011,-0.002,2.78,5
2024-03-21 15:46:58,522.72,4929825856.564225,518.58,-0.04116500276237944,-743042069.9995394,0.10936785218253967,46198011,-0.006,2.86,5
2024-03-21 09:37:23,523.15,1430044524.232425,519.04,-0.04376746876504936,-916978087.5055177,0.11136817460317461,51840911,-0.006,2.82,5
2024-03-20 15:48:24,519.55,345564506.31847495,516.98,-0.03485471681660096,-373013615.0652773,0.1131673363095238,51840911,-0.003,2.86,5
2024-03-20 09:38:14,515.28,203030191.52812797,516.29,-0.027538525658322044,203608997.63536605,0.12277633928571428,45193633,0.002,2.77,1
2024-03-19 15:46:42,515.15,465366876.86077493,513.68,-0.030977252504423736,-187141565.6913296,0.12089230158730158,45193633,-0.002,2.75,5
2024-03-19 09:38:47,511.43,-1625497399.4019892,513.4,-0.01896322129064154,256445889.26353532,0.12744523313492062,48491992,0.002,2.69,3
2024-03-18 15:50:19,513.725,96127807.93765001,513.52,-0.029028028978949794,-27872379.83950116,0.12413114583333332,48491992,-0.0,3.43,5
2024-03-18 09:37:32,514.53,2099436799.905135,512.45,-0.02525668244186441,-367203651.8919742,0.12587913194444444,80778188,-0.002,3.2,5
2024-03-15 15:46:36,509.5727,-1238876726.3519795,514.17,-0.010894918181327928,284026979.4353336,0.12558987103174604,80778188,0.001,3.55,3
2024-03-15 09:37:50,510.63,-3150654106.451553,513.44,-0.012719158429766286,449609735.7203441,0.12488111607142859,71811934,0.002,4.16,3
2024-03-14 15:47:10,512.98,65337136.19851601,513.24,-0.019010595802403024,30015663.00895344,0.12145549603174602,71811934,0.0,3.17,3
2024-03-14 09:37:51,516.8588,976923320.9742783,513.93,-0.035129675583711384,-885838571.0979509,0.11450192956349206,42065429,-0.008,3.02,5
2024-03-13 15:46:40,515.82,654857475.8363281,513.13,-0.03642117336377179,-532552727.5624887,0.1151762003968254,42065429,-0.005,3.14,5
2024-03-13 09:37:39,516.5931,-1458956368.678376,515.26,-0.03972846870932831,-444173694.8984641,0.11809707837301588,58976609,-0.003,3.09,5
2024-03-12 15:48:47,516.8299,1129447868.918731,511.33,-0.04322114235881261,-924828488.2025434,0.1176249107142857,58976609,-0.006,3.09,5
2024-03-12 09:38:03,511.83,271149375.909456,510.86,-0.02897238214131176,-210100226.48023614,0.1250599603174603,46260654,-0.002,2.99,5
2024-03-11 15:50:02,510.955,-127694399.13154773,510.75,-0.027886291618220538,-26193120.752693597,0.12768993055555555,46260654,-0.0,3.11,5
2024-03-11 09:39:07,510.74,-542151320.237936,511.16,-0.02537712404745332,84641795.39301805,0.1328059375,69076599,0.0,2.98,1
2024-03-08 15:46:54,512.3,-125034419.06889997,512.04,-0.018508223267008295,-15976039.905395996,0.12347362103174603,69076599,-0.0,3.24,3
2024-03-08 09:37:09,515.86,2228189176.686344,513.39,-0.030644452622514085,-640239855.4048029,0.12003844742063494,51395044,-0.005,3.14,5
2024-03-07 15:47:01,515.3,1777583446.0732996,511.41,-0.0301360740310071,-538260369.9782175,0.12241246527777777,51395044,-0.004,3.23,5
2024-03-06 15:49:25,510.14,441220881.206232,510.22,-0.022024003884666882,10969156.77329412,0.120496810515873,53226446,0.0,3.25,1
2024-03-06 09:37:20,510.13,1684376431.4946022,509.04,-0.026362372565094216,-210642624.36538184,0.11851392113095238,58335315,-0.001,3.12,5
2024-03-05 15:48:36,506.03,-909698793.0697309,512.68,-0.023070809560678612,821484290.2325861,0.12307879464285715,58335315,0.005,3.39,1
2024-03-05 09:38:30,509.67,-2056846427.996535,512.54,-0.030001843766116754,704379081.7720141,0.11909494543650795,36258939,0.007,3.28,1
