ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated
SPY,1997-12-31,96.875,97.625,96.688,97.062,4359500.0,60.957,97.062,2024-05-14
SPY,1998-01-02,97.312,97.656,96.531,97.562,2360900.0,61.271,97.562,2024-05-14
SPY,1998-01-05,97.844,98.438,96.781,97.781,4191800.0,61.409,97.781,2024-05-14
SPY,1998-01-06,97.25,97.281,96.188,96.219,3154900.0,60.427,96.219,2024-05-14
SPY,1998-01-07,96.094,96.719,95.219,96.469,4424200.0,60.584,96.469,2024-05-14
SPY,1998-01-08,96.312,96.312,95.375,95.625,3831000.0,60.055,95.625,2024-05-14
SPY,1998-01-09,95.25,95.5,91.906,92.312,10258800.0,57.974,92.312,2024-05-14
SPY,1998-01-12,91.125,94.188,90.906,94.0,12097900.0,59.034,94.0,2024-05-14
SPY,1998-01-13,94.625,95.375,94.219,95.312,5224900.0,59.858,95.312,2024-05-14
SPY,1998-01-14,95.688,95.969,94.719,95.75,3770400.0,60.133,95.75,2024-05-14
SPY,1998-01-15,95.5,95.75,94.812,94.953,2875400.0,59.633,94.953,2024-05-14
SPY,1998-01-16,96.25,96.688,95.656,96.312,4374800.0,60.486,96.312,2024-05-14
SPY,1998-01-20,96.688,98.016,96.5,97.875,5091700.0,61.468,97.875,2024-05-14
SPY,1998-01-21,97.219,97.688,96.156,96.938,4699400.0,60.879,96.938,2024-05-14
SPY,1998-01-22,96.156,96.875,95.875,96.078,4543400.0,60.339,96.078,2024-05-14
SPY,1998-01-23,96.5,96.781,95.0,95.938,6350300.0,60.251,95.938,2024-05-14
SPY,1998-01-26,96.375,96.734,95.406,95.875,4362900.0,60.212,95.875,2024-05-14
SPY,1998-01-27,95.812,97.5,95.656,96.844,7044200.0,60.82,96.844,2024-05-14
SPY,1998-01-28,97.406,98.109,97.188,97.719,4268600.0,61.369,97.719,2024-05-14
SPY,1998-01-29,97.844,99.562,97.562,98.25,8007700.0,61.703,98.25,2024-05-14
SPY,1998-01-30,98.781,98.969,98.0,98.312,3649100.0,61.742,98.312,2024-05-14
SPY,1998-02-02,99.906,100.5,99.75,99.938,5756300.0,62.763,99.938,2024-05-14
SPY,1998-02-03,100.0,100.812,99.719,100.688,2759600.0,63.234,100.688,2024-05-14
SPY,1998-02-04,100.281,101.156,99.938,100.562,3374000.0,63.155,100.562,2024-05-14
SPY,1998-02-05,101.312,101.594,100.031,100.5,5076200.0,63.116,100.5,2024-05-14
SPY,1998-02-06,101.0,101.625,100.688,101.625,5701200.0,63.823,101.625,2024-05-14
SPY,1998-02-09,101.719,101.75,100.719,101.281,2322200.0,63.607,101.281,2024-05-14
